strain_name,plate_pos,date_collection,site_collection,plant_num,leaf_num,OTU_assignment
plate12.H3,H3,15_12_2015,Det-2,216,a,OTU1
plate12.H4,H4,15_12_2015,Det-2,209,b,OTU1
plate12.H5,H5,15_12_2015,Det-2,200,b,OTU1
plate12.H6,H6,15_12_2015,Det-2,211,b,OTU1
plate12.H7,H7,15_12_2015,Det-2,215,a,OTU2
plate12.H8,H8,15_12_2015,Det-2,208,b,OTU1
plate12.H9,H9,15_12_2015,Det-2,221,b,OTU4
plate13.A1,A1,11_12_2015,Eyach,107,a,OTU1
plate13.A10,A10,11_12_2015,Eyach,171,b,OTU1
plate13.A11,A11,11_12_2015,Eyach,171,b,OTU1
plate13.A2,A2,11_12_2015,Eyach,107,a,OTU1
plate13.A3,A3,11_12_2015,Eyach,160,b,OTU1
plate13.A4,A4,11_12_2015,Eyach,101,a,OTU1
plate13.A8,A8,11_12_2015,Eyach,136,a,OTU1
plate13.B1,B1,11_12_2015,Eyach,107,a,OTU1
plate13.B10,B10,11_12_2015,Eyach,171,b,OTU1
plate13.B2,B2,11_12_2015,Eyach,107,a,OTU1
plate13.B3,B3,11_12_2015,Eyach,160,b,OTU1
plate13.B4,B4,11_12_2015,Eyach,101,a,OTU3
plate13.B5,B5,11_12_2015,Eyach,101,a,OTU3
plate13.B6,B6,11_12_2015,Eyach,97,a,OTU1
plate13.B7,B7,11_12_2015,Eyach,97,a,OTU1
plate13.B8,B8,11_12_2015,Eyach,136,a,OTU1
